Restaurant Name,Cuisine Type,Neighborhood,Address,City,State Zip,Phone,Rating,Website
n/naka Japanese,Japanese,Palms,3455 S Overland Ave, Los Angeles, CA 90034,(310) 836-6252,4.9,https://nnaka.com
Bestia Downtown,Italian,Arts District,2121 E 7th Pl, Los Angeles, CA 90021,(213) 514-5724,4.7,https://bestiala.com
Bavel Downtown,Middle Eastern,Arts District,500 Mateo St, Los Angeles, CA 90013,(213) 232-4966,4.7,https://baveldtla.com
Rossoblu Italian,Italian,Downtown LA,1124 San Julian St, Los Angeles, CA 90015,(213) 749-1099,4.6,https://rossoblula.com
Maccheroni Republic Italian,Italian,Downtown LA,332 S Broadway, Los Angeles, CA 90013,(213) 346-9933,4.5,https://maccheronirepublic.com
Angelini Osteria Italian,Italian,Mid-City,7313 Beverly Blvd, Los Angeles, CA 90036,(323) 297-0070,4.7,https://angeliniosteria.com
Il Pastaio Italian,Italian,Beverly Hills,400 N Canon Dr, Beverly Hills, CA 90210,(310) 205-5444,4.6,https://ilpastaio.com
Madeo Italian,Italian,Beverly Hills,362 N Camden Dr, Beverly Hills, CA 90210,(310) 859-4903,4.5,https://madeorestaurant.com
Drago Centro Italian,Italian,Downtown LA,525 S Flower St, Los Angeles, CA 90071,(213) 228-8998,4.6,https://dragocentro.com
Osteria La Buca Italian,Italian,Hollywood,5210 Melrose Ave, Los Angeles, CA 90038,(323) 462-1900,4.5,https://osterialabuca.com
Pizzana West Hollywood,Pizza,West Hollywood,460 N Robertson Blvd, West Hollywood, CA 90048,(310) 481-7108,4.6,https://pizzana.com
Joe’s Pizza Downtown,Pizza,Downtown LA,232 S Broadway, Los Angeles, CA 90012,(213) 555-3434,4.5,https://joespizzany.com
Prime Pizza Downtown,Pizza,Downtown LA,7111 Melrose Ave, Los Angeles, CA 90046,(323) 944-0737,4.5,https://primepizza.la
DeSano Pizza Downtown,Pizza,East Hollywood,4959 Santa Monica Blvd, Los Angeles, CA 90029,(323) 913-7000,4.6,https://desanopizza.com
Casa Bianca Pizza Downtown,Pizza,Eagle Rock,1650 Colorado Blvd, Los Angeles, CA 90041,(323) 256-9617,4.5,https://casabiancapizza.com
Little Dom’s Italian,Italian,Los Feliz,2128 Hillhurst Ave, Los Angeles, CA 90027,(323) 661-0055,4.6,https://littledoms.com
Fig & Olive Mediterranean,Mediterranean,West Hollywood,8490 Melrose Pl, Los Angeles, CA 90069,(310) 360-9100,4.5,https://figandolive.com
Dune Mediterranean,Mediterranean,Atwater Village,3143 Glendale Blvd, Los Angeles, CA 90039,(323) 665-7454,4.6,https://dunela.com
Shamshiri Grill Persian,Persian,Westwood,1712 Westwood Blvd, Los Angeles, CA 90024,(310) 474-1410,4.5,https://shamshirigrill.com
Raffi’s Place Persian,Persian,Glendale,211 E Broadway, Glendale, CA 91205,(818) 240-7411,4.7,https://raffisplace.com
Carousel Restaurant Armenian,Armenian,Hollywood,5112 Hollywood Blvd, Los Angeles, CA 90027,(323) 660-8060,4.6,https://carouselrestaurant.com
Marouch Middle Eastern,Middle Eastern,East Hollywood,4905 Santa Monica Blvd, Los Angeles, CA 90029,(323) 662-9325,4.6,https://marouchrestaurant.com
Zankou Chicken Middle Eastern,Middle Eastern,East Hollywood,5065 Sunset Blvd, Los Angeles, CA 90027,(323) 665-7847,4.5,https://zankouchicken.com
Saffy’s Middle Eastern,Middle Eastern,East Hollywood,4850 Fountain Ave, Los Angeles, CA 90029,(323) 555-4545,4.6,https://saffysla.com
Night + Market Song Thai,Thai,Silver Lake,3322 Sunset Blvd, Los Angeles, CA 90026,(323) 665-5899,4.6,https://nightmarketsong.com
Palms Thai Thai,Thai,Hollywood,5900 Hollywood Blvd, Los Angeles, CA 90028,(323) 462-5073,4.5,https://palmsthai.com
Ayara Thai Cuisine Thai,Thai,Westchester,6245 W 87th St, Los Angeles, CA 90045,(310) 410-8848,4.6,https://ayarathai.com
Chengdu Taste Chinese,Chinese,Alhambra,828 W Valley Blvd, Alhambra, CA 91803,(626) 588-2284,4.7,https://chengdutaste.com
Din Tai Fung Chinese,Chinese,Century City,10250 Santa Monica Blvd, Los Angeles, CA 90067,(424) 382-1118,4.7,https://dintaifungusa.com
Sea Harbour Chinese,Chinese,San Gabriel,3939 Rosemead Blvd, San Gabriel, CA 91770,(626) 288-3939,4.7,https://seaharbourla.com
Lunasia Dim Sum House Chinese,Chinese,Pasadena,239 S Fair Oaks Ave, Pasadena, CA 91105,(626) 793-8822,4.6,https://lunasiarestaurant.com
NBC Seafood Restaurant Chinese,Chinese,Monterey Park,404 S Atlantic Blvd, Monterey Park, CA 91754,(626) 282-2323,4.6,https://nbcseafood.com
Elite Restaurant Chinese,Chinese,Monterey Park,700 S Atlantic Blvd, Monterey Park, CA 91754,(626) 282-9998,4.6,https://eliterestaurantla.com
Capital Seafood Chinese,Chinese,Beverly Hills,50 N La Cienega Blvd, Beverly Hills, CA 90211,(310) 855-1234,4.5,https://capitalseafood.com
Little Sister Asian Fusion,Asian Fusion,Downtown LA,523 W 7th St, Los Angeles, CA 90014,(213) 628-3146,4.5,https://littlesisterla.com
All Day Baby Diner,Diner,Silver Lake,3200 Sunset Blvd, Los Angeles, CA 90026,(323) 741-0082,4.6,https://alldaybabyla.com
